GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity.mdao,MongoGenDao,94,0,8,0,22,0,14,0,10,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TProductLog,64,0,2,0,25,0,18,0,17,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppCompanySms,48,13,2,0,19,4,11,1,10,1
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,SysRole,53,0,6,0,16,0,14,0,11,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppArea,36,0,2,0,13,0,10,0,9,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppUserCompany,87,19,0,0,37,6,25,1,25,1
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppCompany,297,0,22,0,99,0,73,0,62,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppServiceNo,115,0,0,0,49,0,33,0,33,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TOpenBoxLog,76,0,4,0,28,0,21,0,19,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppServicePush,66,0,0,0,28,0,19,0,19,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,Testvo,24,0,0,0,10,0,7,0,7,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppUserOrg,71,0,2,0,28,0,20,0,19,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppNotice,85,0,2,0,34,0,24,0,23,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,SysUseRole,43,13,0,0,19,4,10,1,10,1
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,BannerImg,53,0,6,0,16,0,14,0,11,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppOrganization,121,0,8,0,43,0,33,0,29,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppProduct,111,0,4,0,43,0,31,0,29,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TSmsRecord,80,0,0,0,34,0,23,0,23,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppPosition,58,0,0,0,14,0,10,0,10,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppEnterpriseServiceNumber,52,0,0,0,22,0,15,0,15,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,SysResource,84,0,10,0,25,0,22,0,17,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TSysLog,62,0,4,0,22,0,17,0,15,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppGpsPosition,38,0,0,0,16,0,11,0,11,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppCompanyApply,24,0,0,0,10,0,7,0,7,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppUser,197,0,16,0,67,0,53,0,45,0
Intelligent-box Maven Webapp,cmcc.mobile.yiqi.entity,TAppCheck,136,0,0,0,58,0,39,0,39,0
